,"2,3-butanediol","1,3-propanediol","1,4-butanediol","1,5-pentanediol","1,2-pentanediol",Ethanolamine
23BD1-6,0.35538005537821865,0.6386325124643334,0.5010542389023332,0.4823541529456667,0.33574493075333334,0.25240054348
23BD1-8,0.31742281094809904,0.5857138012359999,0.43992051879,0.4429294096986667,0.341399306007,0.2571807609023333
23BD1-9,0.3203705485779435,0.577702183008,0.47058449500033334,0.45005294317100003,0.313715819577,0.26538688340033334
23BD2-4,0.31934784371223024,0.4995259018643334,0.41442752475066663,0.37301445687099993,0.3375323595,0.10673882863716666
23BD2-5,0.3406267337895621,0.5195831151603333,0.43699432621199996,0.3844477454586666,0.357007581795,0.11876905482033333
23BD2-7,0.31727448007311276,0.5294981916163333,0.41753329671666667,0.37620165266033334,0.3670795678306667,0.11129003638583335
23BD2-9,0.3433203879297648,0.513922407552,0.4268223927566667,0.38588042663666666,0.37699416035833333,0.136118802217
23BD3-3,0.512515670835297,0.6474294447366667,0.5654649554206667,0.399640524397,0.4215353033926666,0.10522372433946665
23BD3-4,0.46641690862848134,0.5886917278006666,0.3607111714406667,0.36921894191733334,0.36113347026933335,0.08087287639143334
23BD3-9,0.5037176535061813,0.6812330436403333,0.5228526433299999,0.334912020575,0.409275058819,0.08818439761303333
23BD4-3,0.35601763991279123,0.6455872217276667,0.5098015044956666,0.46852317970633334,0.417343314964,0.24303917754666668
23BD4-4,0.3750359203260248,0.6438560312923334,0.507538182726,0.45620693301600007,0.4590069504423333,0.18538984443766668
23BD4-7,0.43311071675486784,0.6255251812333333,0.4770026351786667,0.429854073647,0.44302092167533336,0.12534869343466667
23BD5-1,0.37205796479781256,0.6514916517056667,0.47430552634066664,0.45899271458000007,0.33958824200733334,0.22091519748533336
23BD5-10,0.3613902512041851,0.6660023297380001,0.5239419834213334,0.4852813466263333,0.3483319368806667,0.22949960295233332
23BD5-7,0.3758562652027712,0.6579106198113333,0.49852768918533324,0.458405564284,0.3663109650516667,0.23125520621266668
23BD6-1,0.39570442489879254,0.655972738477,0.514927682054,0.4754424741786667,0.44349290032766664,0.20037999148566665
23BD7-10,0.49612219436574506,0.609212448968,0.473398074484,0.47140732797400003,0.4531282396646667,0.17068367251633335
23BD7-4,0.5009185453563575,0.6170800314273334,0.481225277478,0.4726520320013334,0.46171643734533335,0.15371154182466665
23BD7-5,0.4850072961848931,0.6204673502496667,0.502968918392,0.482690100757,0.5350121982010001,0.1897621734296667
23BD7-7,0.5218540992306325,0.6291856140659999,0.49655422870533333,0.46415684907999993,0.46065850736833336,0.14987388375433333
23BD8-2,0.3811487581222999,0.7137096049456666,0.4699109898323333,0.45871608011000004,0.22491403430433335,0.2232370125933333
23BD8-5,0.32109408836996595,0.6245022501133333,0.43412649712033335,0.397307432776,0.4931946056243333,0.17186122871866663
23BD8-7,0.3540225184009223,0.622586401123,0.4154834431623333,0.375943693595,0.4856089693453334,0.2370529235326667
MG1655,0.18231076484811387,0.3951557506843333,0.19244929629733334,0.1892812699666667,0.36592715504266665,0.281313968357
