,adipate,Succinate,Pimelate,Sebacate,Fumarate,Itaconate,Malate
ADIP1-1,0.4055810094730936,0.29916213614500003,0.4324887267913333,0.243534255768,0.347024471926,0.465817716416,0.3331212695893333
ADIP1-6,0.44617827261520043,0.25006422375733334,0.4307242727673333,0.2717884676683333,0.3621723527493333,0.482634240168,0.2903038721116667
ADIP1-9,0.38666738084125224,0.28950994301933336,0.42123796709666667,0.247553055625,0.327702005342,0.43368227930066666,0.33626185893166666
ADIP2-10,0.3906149591851438,0.2615589518363333,0.479158095389,0.28982986131500005,0.3526872204086667,0.4378803032833333,0.346540619158
ADIP2-5,0.4016174873983666,0.26049225228966666,0.4740749627246667,0.31529203169833336,0.3584922629503333,0.4395973951773333,0.3380470264603333
ADIP2-6,0.4133214926390932,0.27827461920566665,0.4801110475393333,0.31893691660600004,0.37984138726966665,0.4696606378663333,0.34796403202200005
ADIP3-2,0.411649429673343,0.31148941612933334,0.4375364528486667,0.2539534800393333,0.32733466228633334,0.45861939857100004,0.3181217052413334
ADIP3-4,0.38537295144327616,0.3079765588223333,0.4352396704886667,0.26230785741633333,0.3235216142396667,0.45058899924833334,0.34728462034999996
ADIP3-8,0.38722162237283153,0.304012671759,0.4258027766463333,0.252616719143,0.34279673421100004,0.4325973439746667,0.3290030255056667
ADIP4-1,0.37062581229994046,0.20642614235733334,0.3480733884743334,0.3084891589846666,0.264460378851,0.3394154194366667,0.274702196785
ADIP4-4,0.18065460426244273,0.1443195577759,0.23041554097733333,0.11891843040033334,0.183096337613,0.23271623845466669,0.19341923425333332
ADIP4-8,0.37862957211359527,0.227962288063,0.3490789364273333,0.28948186997566666,0.25400784674899995,0.3257624980476666,0.238439695942
ADIP5-2,0.35112256483005955,0.19153706751833333,0.385124255402,0.28847422472733336,0.2797761439203333,0.354403951753,0.2992592954066667
ADIP5-5,0.16146639964138074,0.175642815002,0.26515496243233333,0.186068535299,0.20381734331766665,0.19471607981466668,0.219135166921
ADIP5-6,0.4415152916106171,0.36122067815000003,0.48252630882133335,0.2726674644543333,0.444381116629,0.5272370926673333,0.404451603396
ADIP6-10,0.3888867705360625,0.28507622567266666,0.36013867032833335,0.2674961333943333,0.308212943828,0.3434000016986667,0.3232485579803333
ADIP6-3,0.3795883108138435,0.24571142569200002,0.345660026916,0.26829909263466667,0.274880145653,0.327450229889,0.2949589450766667
ADIP6-9,0.36994152281876924,0.209747337773,0.2784625788203334,0.18114162835433334,0.24970784981133334,0.3368834642883334,0.25047822794133334
ADIP7-10,0.36579580214079555,0.322097130659,0.3149063980003333,0.24543287770566669,0.335369368589,0.34632607225133333,0.32898793754166666
ADIP7-2,0.2681357589975523,0.2941689956283333,0.3925863740373334,0.3558274700926667,0.3116445462896667,0.341899172875,0.329216143103
ADIP7-5,0.3700884213330005,0.2737617950263333,0.37576867864200003,0.35347932985333336,0.32556794266233335,0.40242394920700003,0.32643868401900006
ADIP8-10,0.28386979302735366,0.1312367628216,0.24894493483800004,0.16492950693900002,0.220729672422,0.29031340602266664,0.20216154489966667
ADIP8-11,0.34833873841181057,0.1730922485466667,0.24507259137700002,0.19372824724733337,0.241181215506,0.27358687401099996,0.21659958988666664
ADIP8-12,0.2523864890124947,,,,,,
ADIP8-14,,0.22195503489666668,0.3003273101833333,0.18746146123533336,0.18863000957099998,0.38457637470966666,0.223214914856
ADIP8-15,0.3760054053092749,,,,,,
ADIP8-16,0.2865500909663388,,,,,,
ADIP8-17,0.26780189187065245,0.1554072497496667,0.24895713089899998,0.15953843624066666,0.23855291983633334,0.3283851568546667,0.222654898026
ADIP8-18,0.2711707507396214,,,,,,
ADIP8-19,0.3500360167655845,,,,,,
ADIP8-20,0.2536406838079402,0.103195037322,0.226071578357,0.257046109912,0.202864443365,0.29210141051,0.190912169168
ADIP8-3,0.27512964118947864,0.14618725138766667,0.23453768278200002,0.17140292516766667,0.20237064825999998,0.3084605806096667,0.19361171364033333
ADIP8-7,0.2646701646395607,0.16311396419966667,0.267895836874,0.15710111232866666,0.18813069392333334,0.2350759475251333,0.202240363403
MG1655,0.18022485018916357,0.14292364376716665,0.2714871196943333,0.134768613951,0.212099370357,0.2573853306336667,0.22211389944866666
