,HMDA,Ethylenediamine,"1,3-diaminopropane","1,5-diaminopentane",Spermidine,Ornithine,Citrulline
HMDA1-10,0.5046897626561915,0.33904734927266666,0.21046807755,0.3648987243903334,0.242956981384,0.7637703742153333,0.6014441603856667
HMDA1-6,0.48411604879878795,0.34571163756599993,0.11946087049366666,0.4264506193143333,0.2596236300423333,0.799460278383,0.8898354423020001
HMDA1-8,0.4036069651878585,0.30569002360766667,0.05404098128755667,0.2741733386983333,0.16817072857833337,0.7170800858923333,0.594943412585
HMDA2-1,0.4986076214520559,0.22434567347133336,0.07587703268286666,0.40614181687,0.08175211738180001,0.7246727761486668,0.44548608636333337
HMDA2-8,0.5234888416558547,0.1645618724786667,0.07262870700506667,0.4177611137683333,0.07300365353653333,0.7600744630686666,0.5159741497076666
HMDA2-9,0.5239089408763196,0.211508043589,0.07879981524763334,0.42268157325899997,0.0570924786839,0.7040494311706667,0.5066459431116667
HMDA3-4,0.5684657274667105,0.3080152963936667,0.10610330782623334,0.5209753969429999,0.35860402672766667,0.9110732239970001,0.6365954958776666
HMDA3-5,0.5834741481055586,0.3192819526513333,0.0,0.5320316331089999,0.392633202681,0.834912574499,0.5469882517566667
HMDA3-6,0.5550040674852701,0.276247071241,0.08308495271616666,0.5239520522490001,0.36250742644433337,0.9013704939380002,0.6546934406406667
HMDA4-2,0.43081582300138493,0.2859837187263334,0.11753910264633334,0.46878577178133335,0.27522639095966667,0.814072528145,0.5607687025776666
HMDA4-6,0.4940318932407042,0.29770021094433335,0.16700660339166665,0.4979457287423334,0.26082628955933335,0.8012131448513333,0.5249475964466667
HMDA4-9,0.5037893054909709,0.21237749367433334,0.139082024986,0.47545651548766665,0.24107305954299996,0.7606025962193333,0.5834495304573334
HMDA5-10,0.4966648472040987,0.43853203726466666,0.09960516453663333,0.40351431719400005,0.3360822748806667,0.8184463565813332,0.5125666034183333
HMDA5-4,0.5385311796568748,0.40622524973033336,0.0,0.5263060204510001,0.37222738075533335,0.7502485527003334,0.626705525703
HMDA5-5,0.6101864967104825,0.4394784524876667,0.0,0.5330645885163333,0.39776741174433333,0.7833153913276667,0.6537782515086668
HMDA6-10,0.5173987621897149,0.285055203039,0.1661491151909,0.46148545543833336,0.315921200704,0.7344561464506666,0.4123699355416666
HMDA6-3,0.5408454294000066,0.31215017547466667,0.19479800166833336,0.4291504642223333,0.213571983708,0.8516967747543333,0.402320550741
HMDA6-7,0.5461734086120734,0.35047664100433334,0.17351998421,0.461003027552,0.24712392049333332,0.8097410731916667,0.564617194142
HMDA7-1,0.5143491644644943,0.0,0.05384266456406667,0.43337807420333335,0.24144335310933332,0.8098577694103334,0.5184148663996667
HMDA7-10,0.5001889818037043,0.0,0.062318055641633334,0.4596726849573334,0.241107710427,0.8067316505386667,0.506907631713
HMDA7-7,0.4888523451028546,0.0,0.05547267101023332,0.439184688706,0.22737932797500002,0.8095445570893333,0.462393429139
HMDA8-10,0.6266588097093719,0.15847399758466665,0.10621843740466667,0.49724765361900003,0.24847187741833332,0.8874286532476666,0.49678453218999996
HMDA8-5,0.6457930682811219,0.20312154449233333,0.13383559563766667,0.495824331374,0.2908181046003333,0.7148482781409999,0.48655052536399995
HMDA8-9,0.5799482222947187,0.104240054948,0.129995214289,0.49828676104999997,0.28403593586133336,0.7461175835676667,0.46304095401833334
MG1655,0.237188295305805,0.16234896360733334,0.0,0.169350074441,0.232116060932,0.3754947614533333,0.29579434712866665
